0,0,0
1, 1024, 90
2, 1024, 45
4, 1024, 28
8, 1024, 20
16, 1024, 14
32, 1024, 9
64, 1024, 9
1, 512, 37
2, 512, 19
4, 512, 14
8, 512, 11
16, 512, 6
32, 512, 4
64, 512, 4
